	Sobic	Seita	Ortho	Orysa	Bradi	Pavag	Zmays
SynPair10818	0.061959	0.135693	0.252856	0.242061	0.215454	0.14075	0.092522
SynPair12849	0.012175	0.092672	0.234003	0.169884	0.208627	0.098275	0.838201
SynPair10464	0.092395	0.1213	0.334196	0.37471	0.284104	0.210487	0.0846
SynPair50126	0.048539	0.107279	0.265828	0.200814	0.187312	0.105103	0.0804
SynPair30713	0.051934	0.042508	0.300556	0.248501	0.195451	0.11454	0.10842
SynPair3978	0.13973	0.168545	0.283117	0.470098	0.314647	0.189784	0.124658
SynPair50042	0.062134	0.070651	0.276145	0.18897	0.16964	0.11886	0.07983
SynPair31935	0.026367	0.118227	0.233657	0.214054	0.233096	0.125737	0.085951
SynPair5493	0.053922	0.132171	0.226263	0.279279	0.206717	0.14978	0.076297
SynPair38646	0.045758	0.101302	0.207689	0.198104	0.23755	0.114271	0.074384
SynPair22298	0.050408	0.125625	0.336787	0.221034	0.385956	0.234834	0.149815
SynPair63580	0.096796	0.250804	0.715265	0.652639	0.81066	0.247732	0.234046
SynPair46873	0.063795	0.152219	0.239317	0.246579	0.243543	0.209918	0.098974
SynPair39578	0.043919	0.094336	0.206854	0.167887	0.192117	0.110042	0.143125
SynPair47731	0.07304	0.215454	0.428699	0.271262	0.728007	0.241739	0.209997
SynPair38722	0.058408	0.277537	0.645991	0.237619	0.623476	0.212162	0.118322
SynPair63898	0.04486	0.166196	1.002848	0.292846	0.357458	0.109096	0.225561
SynPair26196	0.336187	0.269511	0.468901	0.421218	0.649566	0.249551	0.277141
SynPair8492	0.105411	0.214327	0.366729	0.399209	0.295821	0.123151	0.196127
SynPair42665	0.051266	0.126901	0.219195	0.224131	0.233242	0.148408	0.260447
SynPair41812	0.058219	0.116981	0.262785	0.348522	0.227383	0.12994	0.055021
SynPair43843	0.204902	0.362408	0.769602	1.313487	1.006307	0.27834	0.247984
SynPair1806	0.039782	0.109335	0.346764	0.44277	0.256383	0.183349	0.171487
SynPair860	0.086632	0.194101	1.357131	0.378853	0.475937	0.202228	0.10073
SynPair51337	0.051871	0.084948	0.231587	0.253047	0.220124	0.125627	0.106014
SynPair33437	0.051713	0.083469	0.27696	0.312765	0.569401	0.097297	0.133549
SynPair30758	0.19489	0.918426	0.722753	0.571192	1.3133	0.41806	0.204186
SynPair578	0.084421	0.150865	0.304678	0.140945	0.28964	0.129731	0.172627
SynPair12966	0.068692	0.112352	0.438866	0.449899	0.246602	0.275123	0.165342
SynPair33553	0.154473	0.172635	0.549574	0.26493	1.157892	0.288979	0.218666
SynPair4682	0.156741	0.267873	0.444395	0.160378	0.7383	0.258752	0.290924
SynPair13890	0.033749	0.121811	0.227207	0.08449	0.267708	0.060993	0.071883
SynPair57068	0.086208	0.225187	0.616465	0.401831	0.756609	0.191346	0.156691
SynPair30888	0.108195	0.348996	0.499697	0.468825	0.636305	0.473276	0.161242
SynPair36563	0.240534	0.477445	0.69962	0.541351	1.167928	0.378974	1.037569
SynPair3787	0.08328	0.341672	0.53319	0.444558	0.533909	0.138708	0.156565
SynPair10783	0.073667	0.128695	0.461724	0.315858	0.411384	0.256193	0.105214
SynPair34456	0.044522	0.098898	0.323953	0.261495	0.244233	0.127204	0.155489
SynPair5610	0.034495	0.068864	0.285017	0.231761	0.307492	0.157753	0.230009
SynPair17832	0.042983	0.136439	0.226863	0.227941	0.331209	0.229782	0.11956
SynPair36407	0.049386	0.102155	0.245466	0.209468	0.17834	0.13253	0.07348
SynPair52290	0.050208	0.169441	0.230924	0.190019	0.241972	0.174599	0.111629
SynPair13588	0.064005	0.105262	0.258356	0.235781	0.275517	0.132279	0.073175
SynPair58394	0.080555	0.134583	0.32604	0.335975	0.355237	0.14746	0.146735
SynPair9683	0.098572	0.128747	0.22055	0.311772	0.272893	0.161068	0.123629
SynPair62841	0.068423	0.45596	0.296175	0.284899	0.194967	0.13913	0.089747
SynPair43474	0.069231	0.163449	0.308377	0.285328	0.351156	0.196594	0.098985
SynPair8611	0.05183	0.280211	0.669784	0.568724	1.124001	0.110982	0.285708
SynPair46444	0.063016	0.103927	0.27698	0.19282	0.265198	0.095273	0.068527
SynPair67915	0.048386	0.114202	0.184795	0.21302	0.186562	0.099092	0.13617
SynPair61882	0.051262	0.087144	0.268559	0.254711	0.211504	0.137861	0.07093
SynPair67569	0.10692	0.41722	0.585582	0.322016	0.187405	0.359753	0.168831
SynPair9953	0.055186	0.105576	0.270308	0.168851	0.155826	0.108681	0.112232
SynPair58219	0.054104	0.103525	0.220981	0.255707	0.195035	0.131396	0.706134
SynPair8928	0.33532	0.206949	0.600553	0.30648	0.672922	0.583973	0.281133
SynPair64543	0.082314	0.175092	0.235477	0.314786	0.308896	0.166332	0.225228
SynPair22196	0.051475	0.128682	0.230842	0.209262	0.213086	0.129798	0.06748
SynPair38548	0.092844	0.165266	0.343502	0.367929	0.312019	0.167664	0.153349
SynPair65719	0.05793	0.077727	0.240439	0.242548	0.200685	0.118518	0.166242
SynPair46701	0.130213	0.326075	0.605091	0.574806	0.627368	0.18986	0.218003
SynPair26134	0.357151	1.297202	0.597826	0.537972	1.297984	0.431563	0.264068
SynPair46665	0.121039	0.214907	0.381127	0.319426	0.250976	0.1484	0.067014
SynPair45812	0.044752	0.13023	0.249117	0.250901	0.221659	0.132648	0.073899
SynPair26298	0.110513	0.450635	0.517902	0.061486	0.623488	1.335366	0.135875
SynPair44598	0.044832	0.089113	0.285215	0.250313	0.138563	0.073876	0.245441
SynPair67898	0.071197	0.150638	0.291937	0.344324	0.170923	0.171533	0.115915
SynPair14464	0.061496	0.089303	0.274006	0.364526	0.327102	0.098979	0.091879
SynPair5431	0.150668	0.282141	0.602857	0.873858	0.577905	0.531271	0.352226
SynPair16435	0.29254	0.073326	0.383729	0.281322	0.453312	0.450716	0.083607
SynPair55218	0.022424	0.082039	0.221538	0.235721	0.187747	0.122696	0.089332
SynPair37518	0.034886	0.136593	0.231623	0.17387	0.197601	0.10753	0.061068
SynPair49751	0.16893	0.100068	0.188989	0.900772	0.342629	0.129346	0.159982
SynPair37964	0.051914	0.11067	0.296344	0.222813	0.248456	0.125136	0.106395
SynPair32684	0.135128	0.493033	0.940803	0.492888	0.516078	0.328343	0.189742
SynPair889	0.043521	0.146948	0.243925	0.178783	0.163533	0.157904	0.059385
SynPair56013	0.058443	0.074819	0.273549	0.132546	0.360089	0.164655	0.085223
SynPair30905	0.053684	0.115906	0.288523	0.321719	0.279114	0.165874	0.14238
SynPair11530	0.125922	0.121125	0.345708	0.311108	0.300913	0.125108	0.126772
SynPair49881	0.126676	0.121088	0.245069	0.276514	0.304842	0.160431	0.788754
SynPair2534	0.048301	0.138832	0.229276	0.2598	0.207006	0.120922	0.067021
SynPair52279	0.048738	0.092862	0.253281	0.285804	0.225712	0.158802	0.076673
SynPair32954	0.133455	0.290471	0.701794	0.580256	0.676092	0.344601	0.246373
SynPair51116	0.04724	0.094555	0.228565	0.366374	0.11533	0.140481	0.063736
SynPair11454	0.13666	0.246703	0.491026	0.759515	0.696401	0.321027	0.187597
SynPair6596	0.061805	0.142462	0.287316	0.228981	0.267449	0.143922	0.075972
SynPair15592	0.107232	0.109276	0.195923	0.279303	0.215829	0.136528	0.094274
SynPair46582	0.193693	0.240911	0.690758	0.4013	0.507751	0.429739	0.277226
SynPair27089	0.06284	0.132113	0.243757	0.236472	0.21161	0.169317	0.094471
SynPair22271	0.165836	0.104086	0.194472	0.314425	0.246284	0.260079	0.106888
SynPair9895	0.082144	0.153638	0.34004	0.371589	0.544364	0.125137	0.188271
SynPair66559	0.816745	0.45616	0.67848	1.034722	0.427707	0.546117	0.643786
SynPair8963	0.115893	0.334731	0.606867	0.442722	0.412344	0.166482	0.170761
SynPair38503	0.05887	0.151894	0.225754	0.197333	0.193133	0.095804	0.080914
SynPair39759	0.062653	0.106653	0.272741	0.244848	0.205119	0.116445	0.080943
SynPair62987	0.057206	0.162099	0.259845	0.242519	0.266406	0.103211	0.171139
SynPair8807	0.069058	0.107215	0.177217	0.196075	0.275849	0.188963	0.065782
SynPair64810	0.140712	0.148742	0.256397	0.551933	1.135957	0.292185	0.317158
SynPair47474	0.068649	0.095376	0.245127	0.261702	0.23933	0.171069	0.215267
SynPair25374	0.090053	0.207278	0.455399	0.439135	0.436053	0.300964	0.137112
SynPair65636	0.185133	0.207678	0.271275	0.437895	0.550159	0.078673	0.215365
SynPair712	0.232938	0.504563	0.296667	0.970373	1.119289	0.436943	0.099035
SynPair32407	0.132286	0.312869	0.480172	0.465748	0.607123	0.332416	0.17744
SynPair676	0.09357	0.195716	0.2921	0.306094	0.276466	0.157814	0.137181
SynPair12614	0.050349	0.109649	0.206551	0.186381	0.148611	0.148761	0.04634
SynPair14783	0.047353	0.161137	0.285663	0.247372	0.341057	0.216031	0.095531
SynPair48424	0.030776	0.071753	0.262361	0.21558	0.246063	0.157833	0.078264
SynPair3991	0.05303	0.220241	0.386901	0.324397	0.653964	0.250282	0.219716
SynPair28375	0.14734	0.192038	0.469051	0.175554	0.819547	0.279047	0.209167
SynPair16966	0.04343	0.141987	0.290667	0.246014	0.171521	0.182431	0.455804
SynPair48540	0.070322	0.142365	0.194979	0.268805	0.284313	0.174561	0.077552
SynPair51395	0.42604	0.156946	0.445704	0.71727	1.117682	0.109728	0.133591
SynPair56058	0.047679	0.070722	0.313931	0.217397	0.310844	0.135667	0.309834
SynPair7933	0.173163	0.311544	0.714784	0.538905	0.788475	0.230126	0.176624
SynPair14937	0.151446	0.167532	0.191017	0.207448	0.251765	0.18527	0.108698
SynPair34204	0.08291	0.094393	0.275524	0.136011	0.19408	0.24312	0.13407
SynPair50493	0.128466	0.267294	0.855103	0.959405	0.369007	0.481576	1.544233
SynPair6249	0.047609	0.119536	0.23501	0.250712	0.24754	0.124462	0.474276
SynPair49246	0.123027	0.111073	0.316307	0.225028	0.285005	0.065322	0.11751
SynPair14017	0.0441	0.120496	0.250952	0.22868	0.179298	0.141697	0.07519
SynPair16122	0.028926	0.078353	0.230741	0.247626	0.181598	0.123623	0.115261
SynPair29473	0.060163	0.112688	0.230697	0.276169	0.197153	0.141552	0.072725
SynPair34360	0.075066	0.138164	0.202429	0.223154	0.171317	0.115044	0.079883
SynPair56460	0.061703	0.110031	0.352981	0.532143	0.396265	0.144274	0.32502
SynPair5126	0.090087	0.123214	0.448384	0.407523	0.458275	0.104085	0.168365
SynPair48178	0.189993	0.258351	0.53955	0.352952	0.289447	0.337307	1.623697
SynPair15085	0.095729	0.121294	0.321871	0.394702	0.267887	0.113359	0.174406
SynPair31350	0.040446	0.151264	0.46995	0.154027	0.130352	0.132126	0.194499
SynPair13112	0.179811	0.248818	0.333879	0.603583	0.571853	0.334064	0.518495
SynPair33301	0.289882	0.89555	0.416012	0.620277	0.927786	0.273682	0.418849
SynPair10319	0.079004	0.13274	0.321465	0.299858	0.264323	0.178892	0.228958
SynPair1228	0.043409	0.206587	0.277996	0.293035	0.181398	0.125495	0.097038
SynPair31234	0.023169	0.136677	0.286148	0.21472	0.599782	0.13427	0.954052
SynPair2023	0.237762	0.217682	1.049741	1.409985	0.791335	1.108656	0.095237
SynPair51565	0.039518	0.161428	0.286445	0.20384	0.280992	0.159232	0.144825
SynPair33265	0.06966	0.079761	0.22273	0.259766	0.298599	0.137257	0.091183
SynPair25628	0.146455	0.413326	0.925929	0.729602	1.340138	0.347865	0.465343
SynPair24472	0.049069	0.098671	0.263851	0.26904	0.159104	0.149045	0.163733
SynPair22999	0.233518	0.345023	0.453979	0.462494	0.575459	0.36209	0.094807
SynPair9219	0.05221	0.115168	0.210537	0.198914	0.322497	0.136183	0.078439
SynPair8043	0.108374	0.36701	0.763027	0.513214	0.667219	0.224661	0.171216
SynPair59928	0.053714	0.232968	0.347241	0.31863	0.314938	0.091737	0.099387
SynPair22481	0.066184	0.216391	0.558589	1.405507	0.492086	0.233693	0.174211
SynPair66005	0.057542	0.143773	0.279635	0.360784	0.350653	0.203937	0.094947
SynPair59554	0.033171	0.0511	0.261459	0.273711	0.275262	0.135457	0.094775
SynPair43226	0.375706	0.308009	0.795467	0.494184	0.449197	0.719876	0.872441
SynPair43342	0.158629	0.177966	0.518343	0.590444	0.504218	0.311138	0.065505
SynPair61100	0.517421	0.593128	0.843739	0.393435	1.039279	0.413918	0.642863
SynPair25584	0.414673	0.315432	0.788825	0.700582	0.642119	0.959707	0.454137
SynPair38297	0.586157	0.335872	0.460056	0.675523	1.31242	0.191092	0.346036
SynPair1307	0.108697	0.33756	0.651651	0.436879	0.800661	0.173527	0.225871
SynPair14294	0.088776	0.041162	0.514671	0.339517	1.14399	0.112049	0.161114
SynPair12303	0.059866	0.624492	0.242439	0.12868	0.125161	0.054696	0.081004
SynPair29794	0.104114	0.287888	0.557087	0.180937	1.099372	0.211416	0.240333
SynPair3356	0.352793	0.262591	0.951375	0.321764	1.007471	0.345564	1.214752
SynPair50610	0.125133	0.166279	0.355806	0.289989	1.325926	0.303829	0.175825
SynPair205	0.219738	0.340975	0.609615	0.517162	0.953144	0.367123	0.158904
SynPair1263	0.147199	0.154333	0.584762	0.364995	0.755582	0.297235	0.121279
SynPair52725	0.063547	0.252368	0.244513	0.324874	0.218813	0.15114	0.059757
SynPair3232	0.193273	0.198297	0.32697	0.332212	0.392113	0.123448	0.169164
SynPair4253	0.153275	0.44907	0.523363	0.327549	0.750446	0.396803	0.082296
SynPair35015	0.243073	0.168521	0.60571	0.518364	1.585568	0.323768	0.176764
SynPair33182	0.04358	0.147899	0.24675	0.253307	0.261979	0.138321	0.100815
SynPair48057	0.128844	0.247746	0.497266	0.443527	0.71299	0.197143	0.209558
SynPair7058	0.053362	0.127765	0.309489	0.25012	0.216336	0.112653	0.065049
SynPair30389	0.223905	0.064962	0.269236	0.287596	0.129083	0.135024	0.045834
SynPair14138	0.100364	0.084467	0.069925	0.21595	0.236524	0.149124	0.168519
SynPair56857	0.057963	0.098146	0.277027	0.231221	0.199348	0.098668	0.110575
SynPair48133	0.053004	0.161523	0.366806	0.422969	0.893739	0.124565	0.079625
SynPair22766	0.099366	0.14374	0.489533	0.45971	0.477092	0.19871	0.09869
SynPair62224	0.238592	0.098013	0.387818	0.252343	0.352929	0.067842	0.166508
SynPair21911	0.042329	0.10004	0.210531	0.163568	0.239685	0.106513	0.084778
SynPair21875	0.040902	0.161533	0.229256	0.207745	0.174615	0.159333	0.212914
SynPair23458	0.544358	0.139468	0.475869	0.493539	0.279956	0.263262	0.130673
SynPair22602	0.063681	0.125645	0.230101	0.232197	0.255593	0.141144	0.143496
SynPair65321	0.140999	0.159392	0.370394	0.457565	0.132503	6e-06	0.105489
SynPair24439	0.047607	0.123851	0.282588	0.254172	0.209653	0.153572	0.051032
SynPair47163	0.03159	0.121217	0.256222	0.158299	0.204828	0.133932	0.073436
SynPair25663	0.301737	0.381268	0.750895	0.693096	0.599343	0.373179	0.26932
SynPair8008	0.073484	0.175506	0.23018	0.348832	0.354306	0.152609	0.391594
SynPair26970	0.33251	0.585658	0.949768	0.394882	1.022444	0.437105	0.462709
SynPair58745	0.034079	0.12451	0.263979	0.230398	0.210321	0.151015	0.116128
SynPair27756	0.042207	0.109413	0.259269	0.210956	0.226807	0.092406	0.104789
SynPair45056	0.099759	0.109282	0.263268	0.202408	0.310906	0.202559	0.152444
SynPair8836	0.056857	0.111409	0.248534	0.266704	0.244358	0.080257	0.062376
SynPair64821	0.092192	0.169982	0.244898	0.445514	0.890909	0.368796	0.099799
SynPair63790	0.057615	0.123647	0.298458	0.322085	0.202777	0.121744	0.133867
SynPair22088	0.608772	0.285752	0.618688	0.406903	0.365668	0.376635	0.993861
SynPair47445	0.070815	0.169145	0.385113	0.422634	0.315298	0.173512	0.061086
SynPair59039	0.191067	0.147921	0.552318	0.657946	0.62797	0.372244	0.144503
SynPair8952	0.088864	0.201987	0.416745	0.347252	0.379409	0.383091	0.16039
SynPair39768	0.209171	0.582228	0.831357	0.798885	1.141415	0.503939	0.274925
SynPair38532	0.086231	0.165498	0.256633	0.296544	0.271527	0.156787	0.079375
SynPair61975	0.060247	0.205405	0.515195	0.497582	0.40605	0.208718	0.187791
SynPair62702	0.06662	0.148981	0.217359	0.273368	0.178517	0.136682	0.311186
SynPair44486	0.794561	0.200849	0.758557	0.581494	0.771937	0.345907	1.494415
SynPair59395	0.080067	0.143425	0.274224	0.542707	0.323761	0.204104	0.168546
SynPair63924	0.228676	0.295264	0.635025	0.284043	1.287832	0.387226	0.292554
SynPair42511	0.049473	0.123423	0.280149	0.166631	0.256726	0.123848	0.082324
SynPair18995	0.226717	0.31099	0.524713	0.53892	0.8477	0.313499	0.157987
SynPair42809	0.047611	0.064257	0.31736	0.27153	0.173059	0.141888	0.135365
SynPair42475	0.070744	0.116178	0.293836	0.247293	0.229503	0.250181	0.054349
SynPair48571	0.118993	0.14653	0.483511	0.489387	0.589566	0.105734	0.106565
SynPair55262	0.034605	0.08294	0.252358	0.180838	0.238309	0.133318	0.158171
SynPair34769	0.085852	0.120078	0.158752	0.21826	0.586708	0.192573	0.107491
SynPair17771	0.047664	0.280178	0.380045	0.319331	0.22488	0.157778	0.068099
SynPair31591	0.006424	0.149135	0.23918	0.269216	0.283951	0.162786	0.054762
SynPair12589	0.218445	0.338893	0.475859	0.409852	1.000853	0.343447	0.255804
SynPair2786	0.176261	0.218026	0.463201	0.56125	0.442525	0.326633	0.166468
SynPair13803	0.032211	0.079211	0.159524	0.188216	0.153803	0.119798	0.096917
SynPair3670	0.189438	0.270993	1.087226	0.581427	0.98212	0.374461	0.185274
SynPair32436	0.46727	0.292471	0.822819	0.764878	1.875369	0.200364	0.471743
SynPair30467	0.140472	0.338935	0.517183	0.342825	0.423567	0.537177	0.091532
SynPair1621	0.072673	0.374214	1.268052	1.716259	1.016922	0.520171	0.249443
SynPair36494	0.075058	0.187888	0.268045	0.414307	0.505631	0.410159	0.215919
SynPair31759	0.243055	0.43453	0.477653	0.522831	1.071294	0.546066	0.254195
SynPair30503	0.02385	0.097466	0.388005	0.200283	0.719561	0.133562	0.073994
SynPair23051	0.063621	0.132582	0.287945	0.227913	0.193904	0.096838	0.117582
SynPair42926	0.075902	0.112396	0.452046	0.322772	0.537356	0.278868	0.216296
SynPair46984	0.026101	0.13341	0.174213	0.241898	0.249124	0.101866	0.137744
SynPair26105	0.03295	0.079082	0.260995	0.242916	0.245107	0.137495	0.132696
SynPair44605	0.139291	0.378753	0.314271	0.373347	0.871112	0.165845	0.145895
SynPair8401	0.075895	0.14622	0.374093	0.227895	0.296377	0.202308	0.464887
SynPair62899	0.021208	0.106096	0.262677	0.267247	0.19692	0.09935	0.18018
SynPair26061	0.041897	0.098002	0.243363	0.205549	0.173912	0.121723	0.120178
SynPair44761	0.035121	0.100415	0.274179	0.277343	0.193989	0.142395	0.148695
SynPair8565	0.02878	0.098087	0.283603	0.198337	0.15025	0.113658	0.083463
SynPair64572	0.062874	0.130971	0.257527	0.169942	0.18268	0.097564	0.131354
SynPair13848	0.129891	0.198351	0.506169	0.240924	0.929934	0.284961	0.184715
SynPair30850	0.063112	0.063636	0.298386	0.328697	0.201429	0.167518	0.057159
SynPair34996	0.053455	0.114346	0.364104	0.153347	0.2425	0.135523	0.055431
SynPair32801	0.168618	0.314945	0.528531	0.696689	0.357566	0.306011	0.231958
SynPair51043	0.053196	0.143617	0.272536	0.161655	0.369268	0.143494	0.071511
SynPair4492	0.092822	0.189437	0.647381	0.395043	0.992798	0.203924	0.125858
SynPair768	0.227094	0.226964	0.808981	0.4332	0.83115	0.282356	0.098467
SynPair2979	0.035673	0.141192	0.276307	0.251364	0.259448	0.148263	0.100229
SynPair55229	0.397018	0.587269	1.344907	0.740947	0.726719	0.721516	0.695148
SynPair35904	0.069348	0.242754	0.279712	0.203699	0.386847	0.16344	0.131669
SynPair7949	0.05293	0.10324	0.295073	0.180936	0.339942	0.061725	0.104646
SynPair5564	5e-06	0.171966	1.064474	0.156516	0.600878	0.150099	0.430527
SynPair34722	0.207813	0.039999	0.639047	0.108522	0.74878	0.149758	1.196037
SynPair16560	0.03467	0.106075	0.269223	0.213106	0.218117	0.139173	0.087202
SynPair7451	0.087186	0.124249	0.464357	0.336643	0.287682	0.19446	0.330802
SynPair14455	5e-06	0.108205	0.215992	0.261524	0.250781	0.148031	0.067107
SynPair49604	2.1e-05	0.594954	1.718238	0.866718	0.597919	0.55394	0.409728
SynPair30780	0.020622	0.086754	0.352627	0.219353	0.319413	0.117537	0.241669
SynPair16878	0.0803	0.152733	0.210511	0.194563	0.204142	0.292741	0.025458
SynPair29155	0.555282	0.224828	1.198169	0.553054	0.671605	0.492156	0.505181
SynPair16404	1.1e-05	0.061215	0.573424	0.287092	0.401896	0.369702	0.247052
SynPair34646	0.04598	0.097213	0.338854	0.201792	0.173447	0.140303	0.191714
SynPair10593	0.05047	0.11331	0.334757	0.273041	0.261542	0.132983	0.08955
SynPair35140	0.097019	0.098712	0.308336	0.263558	0.262933	0.080535	0.071159
SynPair17302	0.126274	0.190573	1.503571	0.424914	0.417487	0.207853	0.092206
SynPair28653	0.228895	0.279202	0.948166	0.717178	0.458744	0.309251	0.221825
