CommonID,sorghum3,maize4,paspalum3,subgenome
gene88,Sobic.001G017000,Zm00001d034808,Pavagv31000203m,maize1
gene89,Sobic.001G017100,Zm00001d034807,Pavagv31000204m,maize1
gene90,Sobic.001G017300,Zm00001d034804,Pavagv31000204m,maize1
gene91,Sobic.001G017400,Zm00001d034802,Pavagv31000205m,maize1
gene92,Sobic.001G017500,Zm00001d034801,Pavagv31000206m,maize1
gene93,Sobic.001G017800,Zm00001d034796,Pavagv31000207m,maize1
gene94,Sobic.001G018200,Zm00001d034795,Pavagv31000212m,maize1
gene95,Sobic.001G018500,Zm00001d034793,Pavagv31000218m,maize1
gene96,Sobic.001G019400,Zm00001d034788,Pavagv31000227m,maize1
gene97,Sobic.001G019500,Zm00001d034787,Pavagv31000229m,maize1
gene98,Sobic.001G020100,Zm00001d034784,Pavagv31000246m,maize1
gene99,Sobic.001G020200,Zm00001d034783,Pavagv31000247m,maize1
gene100,Sobic.001G020500,Zm00001d034781,Pavagv31000250m,maize1
gene101,Sobic.001G020600,Zm00001d034779,Pavagv31000251m,maize1
gene102,Sobic.001G020700,Zm00001d034778,Pavagv31000253m,maize1
gene103,Sobic.001G021000,Zm00001d034777,Pavagv31000256m,maize1
gene104,Sobic.001G022400,Zm00001d034763,Pavagv31000261m,maize1
gene105,Sobic.001G022600,Zm00001d034768,Pavagv31000262m,maize1
gene106,Sobic.001G022700,Zm00001d034769,Pavagv31000265m,maize1
gene107,Sobic.001G022900,Zm00001d034760,Pavagv31000266m,maize1
gene108,Sobic.001G023000,Zm00001d034759,Pavagv31000268m,maize1
gene109,Sobic.001G023100,Zm00001d034758,Pavagv31000269m,maize1
gene110,Sobic.001G023200,Zm00001d034757,Pavagv31000271m,maize1
gene111,Sobic.001G023400,Zm00001d034755,Pavagv31000274m,maize1
gene112,Sobic.001G023500,Zm00001d034754,Pavagv31000278m,maize1
gene113,Sobic.001G023700,Zm00001d034753,Pavagv31000286m,maize1
gene114,Sobic.001G023800,Zm00001d034752,Pavagv31000288m,maize1
gene115,Sobic.001G023900,Zm00001d034751,Pavagv31000289m,maize1
gene116,Sobic.001G024000,Zm00001d034750,Pavagv31000290m,maize1
gene117,Sobic.001G024100,Zm00001d034749,Pavagv31000291m,maize1
gene118,Sobic.001G024300,Zm00001d034747,Pavagv31000294m,maize1
gene119,Sobic.001G024400,Zm00001d034746,Pavagv31000295m,maize1
gene120,Sobic.001G024500,Zm00001d034745,Pavagv31000297m,maize1
gene121,Sobic.001G024700,Zm00001d034745,Pavagv31000297m,maize1
gene122,Sobic.001G024800,Zm00001d034745,Pavagv31000297m,maize1
gene123,Sobic.001G024900,Zm00001d034741,Pavagv31000299m,maize1
gene124,Sobic.001G025101,Zm00001d034740,Pavagv31000300m,maize1
gene125,Sobic.001G025300,Zm00001d034740,Pavagv31000300m,maize1
gene126,Sobic.001G025400,Zm00001d034739,Pavagv31000302m,maize1
gene127,Sobic.001G025700,Zm00001d034738,Pavagv31000307m,maize1
gene128,Sobic.001G025900,Zm00001d034734,Pavagv31000308m,maize1
gene129,Sobic.001G026000,Zm00001d034733,Pavagv31000310m,maize1
gene130,Sobic.001G026100,Zm00001d034732,Pavagv31000311m,maize1
gene131,Sobic.001G026300,Zm00001d034731,Pavagv31000318m,maize1
gene132,Sobic.001G026500,Zm00001d034730,Pavagv31000321m,maize1
gene133,Sobic.001G026700,Zm00001d034729,Pavagv31000324m,maize1
gene134,Sobic.001G026800,Zm00001d034727,Pavagv31000326m,maize1
gene135,Sobic.001G026900,Zm00001d034726,Pavagv31000327m,maize1
gene136,Sobic.001G027300,Zm00001d034725,Pavagv31000331m,maize1
gene137,Sobic.001G027500,Zm00001d034725,Pavagv31000331m,maize1
gene138,Sobic.001G027600,Zm00001d034724,Pavagv31000333m,maize1
gene139,Sobic.001G027800,Zm00001d034723,Pavagv31000334m,maize1
gene140,Sobic.001G028000,Zm00001d034722,Pavagv31000336m,maize1
gene141,Sobic.001G028100,Zm00001d034721,Pavagv31000338m,maize1
gene142,Sobic.001G028400,Zm00001d034719,Pavagv31000339m,maize1
gene143,Sobic.001G028500,Zm00001d034718,Pavagv31055795m,maize1
gene144,Sobic.001G028700,Zm00001d034717,Pavagv31000344m,maize1
gene145,Sobic.001G029200,Zm00001d034714,Pavagv31000350m,maize1
gene146,Sobic.001G029300,Zm00001d034713,Pavagv31000351m,maize1
gene147,Sobic.001G029400,Zm00001d034710,Pavagv31000352m,maize1
gene148,Sobic.001G029500,Zm00001d034706,Pavagv31000353m,maize1
gene149,Sobic.001G029600,Zm00001d034705,Pavagv31000354m,maize1
gene150,Sobic.001G029700,Zm00001d034703,Pavagv31000355m,maize1
gene151,Sobic.001G030000,Zm00001d034701,Pavagv31000357m,maize1
gene152,Sobic.001G030100,Zm00001d034700,Pavagv31000359m,maize1
gene153,Sobic.001G030200,Zm00001d034699,Pavagv31000360m,maize1
gene154,Sobic.001G030300,Zm00001d034698,Pavagv31000362m,maize1
gene155,Sobic.001G030400,Zm00001d034689,Pavagv31000363m,maize1
gene156,Sobic.001G030500,Zm00001d034692,Pavagv31000364m,maize1
gene157,Sobic.001G030600,Zm00001d034692,Pavagv31000364m,maize1
gene158,Sobic.001G030800,Zm00001d034686,Pavagv31000373m,maize1
gene159,Sobic.001G030900,Zm00001d034692,Pavagv31000366m,maize1
gene160,Sobic.001G031000,Zm00001d034686,Pavagv31000373m,maize1
gene161,Sobic.001G031100,Zm00001d034682,Pavagv31000374m,maize1
gene162,Sobic.001G031400,Zm00001d034680,Pavagv31000378m,maize1
gene163,Sobic.001G031700,Zm00001d034678,Pavagv31000380m,maize1
gene164,Sobic.001G031900,Zm00001d034675,Pavagv31000381m,maize1
gene165,Sobic.001G032000,Zm00001d034674,Pavagv31000382m,maize1
gene166,Sobic.001G032100,Zm00001d034673,Pavagv31000391m,maize1
gene167,Sobic.001G032300,Zm00001d034672,Pavagv31000397m,maize1
gene168,Sobic.001G032400,Zm00001d034671,Pavagv31000399m,maize1
gene169,Sobic.001G032700,Zm00001d034668,Pavagv31000401m,maize1
gene170,Sobic.001G032800,Zm00001d034667,Pavagv31000403m,maize1
gene171,Sobic.001G033000,Zm00001d034666,Pavagv31000406m,maize1
gene172,Sobic.001G033100,Zm00001d034665,Pavagv31000407m,maize1
gene173,Sobic.001G033200,Zm00001d034664,Pavagv31000409m,maize1
gene174,Sobic.001G033300,Zm00001d034663,Pavagv31000410m,maize1
gene175,Sobic.001G033400,Zm00001d034662,Pavagv31000411m,maize1
gene176,Sobic.001G033500,Zm00001d034659,Pavagv31000412m,maize1
gene177,Sobic.001G034100,Zm00001d034655,Pavagv31000416m,maize1
gene178,Sobic.001G034300,Zm00001d034651,Pavagv31000419m,maize1
gene179,Sobic.001G034500,Zm00001d034650,Pavagv31000421m,maize1
gene180,Sobic.001G034600,Zm00001d034649,Pavagv31000422m,maize1
gene181,Sobic.001G034700,Zm00001d034644,Pavagv31000424m,maize1
gene182,Sobic.001G034900,Zm00001d034643,Pavagv31000425m,maize1
gene183,Sobic.001G035000,Zm00001d034642,Pavagv31000426m,maize1
gene184,Sobic.001G035100,Zm00001d034641,Pavagv31000427m,maize1
gene185,Sobic.001G035200,Zm00001d034640,Pavagv31000429m,maize1
gene186,Sobic.001G035300,Zm00001d034639,Pavagv31000430m,maize1
gene187,Sobic.001G035400,Zm00001d034638,Pavagv31000431m,maize1
gene188,Sobic.001G035500,Zm00001d034636,Pavagv31000432m,maize1
gene189,Sobic.001G035600,Zm00001d034635,Pavagv31000433m,maize1
gene190,Sobic.001G035800,Zm00001d034634,Pavagv31000437m,maize1
gene191,Sobic.001G036300,Zm00001d034630,Pavagv31000441m,maize1
gene192,Sobic.001G036800,Zm00001d034629,Pavagv31000445m,maize1
gene193,Sobic.001G036900,Zm00001d034628,Pavagv31000446m,maize1
gene194,Sobic.001G037000,Zm00001d034627,Pavagv31000448m,maize1
gene195,Sobic.001G038000,Zm00001d034617,Pavagv31000452m,maize1
gene196,Sobic.001G038100,Zm00001d034618,Pavagv31000455m,maize1
gene197,Sobic.001G038200,Zm00001d034620,Pavagv31050915m,maize1
gene198,Sobic.001G038300,Zm00001d034621,Pavagv31050915m,maize1
gene199,Sobic.001G038800,Zm00001d034616,Pavagv31000466m,maize1
gene200,Sobic.001G038900,Zm00001d034615,Pavagv31000468m,maize1
gene201,Sobic.001G039000,Zm00001d034615,Pavagv31000469m,maize1
gene202,Sobic.001G039200,Zm00001d034611,Pavagv31000471m,maize1
gene203,Sobic.001G039300,Zm00001d034610,Pavagv31000472m,maize1
gene204,Sobic.001G039400,Zm00001d034609,Pavagv31000474m,maize1
gene205,Sobic.001G039500,Zm00001d034608,Pavagv31000476m,maize1
gene206,Sobic.001G039600,Zm00001d034607,Pavagv31000477m,maize1
gene207,Sobic.001G039700,Zm00001d034606,Pavagv31000478m,maize1
gene208,Sobic.001G039800,Zm00001d034605,Pavagv31000480m,maize1
gene209,Sobic.001G039900,Zm00001d034604,Pavagv31000481m,maize1
gene210,Sobic.001G040100,Zm00001d034602,Pavagv31000484m,maize1
gene211,Sobic.001G040200,Zm00001d034601,Pavagv31000485m,maize1
gene212,Sobic.001G041100,Zm00001d034598,Pavagv31000499m,maize1
gene213,Sobic.001G041400,Zm00001d034597,Pavagv31000504m,maize1
gene214,Sobic.001G041500,Zm00001d034596,Pavagv31000506m,maize1
gene215,Sobic.001G041600,Zm00001d034595,Pavagv31000508m,maize1
gene216,Sobic.001G041700,Zm00001d034594,Pavagv31000509m,maize1
gene217,Sobic.001G041900,Zm00001d034591,Pavagv31000512m,maize1
gene218,Sobic.001G042200,Zm00001d034590,Pavagv31000515m,maize1
gene219,Sobic.001G042800,Zm00001d034586,Pavagv31000524m,maize1
gene220,Sobic.001G042901,Zm00001d034584,Pavagv31000522m,maize1
gene221,Sobic.001G043400,Zm00001d034581,Pavagv31000528m,maize1
gene222,Sobic.001G043500,Zm00001d034578,Pavagv31000531m,maize1
gene223,Sobic.001G043700,Zm00001d034577,Pavagv31000536m,maize1
gene224,Sobic.001G043800,Zm00001d034575,Pavagv31000537m,maize1
gene225,Sobic.001G044300,Zm00001d034571,Pavagv31000541m,maize1
gene226,Sobic.001G044500,Zm00001d034568,Pavagv31000542m,maize1
gene227,Sobic.001G044700,Zm00001d034563,Pavagv31000544m,maize1
gene228,Sobic.001G044800,Zm00001d034564,Pavagv31000545m,maize1
gene229,Sobic.001G045000,Zm00001d034562,Pavagv31000549m,maize1
gene230,Sobic.001G045300,Zm00001d034560,Pavagv31000550m,maize1
gene231,Sobic.001G045400,Zm00001d034559,Pavagv31000562m,maize1
gene232,Sobic.001G045600,Zm00001d034558,Pavagv31000554m,maize1
gene233,Sobic.001G045700,Zm00001d034553,Pavagv31000561m,maize1
gene234,Sobic.001G045800,Zm00001d034552,Pavagv31000563m,maize1
gene235,Sobic.001G045900,Zm00001d034551,Pavagv31000564m,maize1
gene236,Sobic.001G046100,Zm00001d034550,Pavagv31000566m,maize1
gene237,Sobic.001G046300,Zm00001d034550,Pavagv31000566m,maize1
gene238,Sobic.001G046400,Zm00001d034547,Pavagv31000567m,maize1
gene239,Sobic.001G046800,Zm00001d034546,Pavagv31000568m,maize1
gene240,Sobic.001G046900,Zm00001d034543,Pavagv31000569m,maize1
gene241,Sobic.001G047200,Zm00001d034533,Pavagv31000574m,maize1
gene242,Sobic.001G047600,Zm00001d034531,Pavagv31000577m,maize1
gene243,Sobic.001G047700,Zm00001d034529,Pavagv31000579m,maize1
gene244,Sobic.001G047800,Zm00001d034528,Pavagv31000580m,maize1
gene245,Sobic.001G047900,Zm00001d034527,Pavagv31000581m,maize1
gene246,Sobic.001G048000,Zm00001d034526,Pavagv31050478m,maize1
gene247,Sobic.001G048100,Zm00001d034525,Pavagv31050481m,maize1
gene248,Sobic.001G048200,Zm00001d034524,Pavagv31050482m,maize1
gene249,Sobic.001G048400,Zm00001d034523,Pavagv31050484m,maize1
gene250,Sobic.001G048500,Zm00001d034523,Pavagv31050484m,maize1
gene251,Sobic.001G048600,Zm00001d034523,Pavagv31050484m,maize1
gene252,Sobic.001G048700,Zm00001d034522,Pavagv31050491m,maize1
gene253,Sobic.001G049200,Zm00001d034519,Pavagv31000606m,maize1
gene254,Sobic.001G049300,Zm00001d034518,Pavagv31000607m,maize1
gene255,Sobic.001G049400,Zm00001d034517,Pavagv31000609m,maize1
gene256,Sobic.001G049600,Zm00001d034516,Pavagv31000611m,maize1
gene257,Sobic.001G050100,Zm00001d034514,Pavagv31000614m,maize1
gene258,Sobic.001G050300,Zm00001d034513,Pavagv31000617m,maize1
gene259,Sobic.001G050400,Zm00001d034512,Pavagv31000618m,maize1
gene260,Sobic.001G050500,Zm00001d034511,Pavagv31000621m,maize1
gene261,Sobic.001G050600,Zm00001d034510,Pavagv31000622m,maize1
gene262,Sobic.001G050800,Zm00001d034508,Pavagv31000621m,maize1
gene263,Sobic.001G051100,Zm00001d034506,Pavagv31000628m,maize1
gene264,Sobic.001G051200,Zm00001d034505,Pavagv31000629m,maize1
gene265,Sobic.001G051300,Zm00001d034503,Pavagv31000631m,maize1
gene266,Sobic.001G051400,Zm00001d034502,Pavagv31000633m,maize1
gene267,Sobic.001G051600,Zm00001d034501,Pavagv31000635m,maize1
gene268,Sobic.001G051700,Zm00001d034498,Pavagv31000637m,maize1
gene269,Sobic.001G051800,Zm00001d034497,Pavagv31000638m,maize1
gene270,Sobic.001G052100,Zm00001d034496,Pavagv31000642m,maize1
gene271,Sobic.001G052200,Zm00001d034495,Pavagv31000643m,maize1
gene272,Sobic.001G052300,Zm00001d034494,Pavagv31000645m,maize1
gene273,Sobic.001G052600,Zm00001d034493,Pavagv31000654m,maize1
gene274,Sobic.001G052700,Zm00001d034492,Pavagv31000658m,maize1
gene275,Sobic.001G052900,Zm00001d034491,Pavagv31000661m,maize1
gene276,Sobic.001G053800,Zm00001d034490,Pavagv31000672m,maize1
gene277,Sobic.001G053900,Zm00001d034488,Pavagv31000673m,maize1
gene278,Sobic.001G054000,Zm00001d034487,Pavagv31000675m,maize1
gene279,Sobic.001G054100,Zm00001d034486,Pavagv31000676m,maize1
gene280,Sobic.001G054300,Zm00001d034484,Pavagv31000678m,maize1
gene281,Sobic.001G054400,Zm00001d034483,Pavagv31000679m,maize1
gene282,Sobic.001G054500,Zm00001d034482,Pavagv31000679m,maize1
gene283,Sobic.001G054700,Zm00001d034480,Pavagv31000681m,maize1
gene284,Sobic.001G054800,Zm00001d034479,Pavagv31000682m,maize1
gene285,Sobic.001G055400,Zm00001d034475,Pavagv31000683m,maize1
gene286,Sobic.001G055600,Zm00001d034469,Pavagv31000685m,maize1
gene287,Sobic.001G055900,Zm00001d034468,Pavagv31000689m,maize1
gene288,Sobic.001G056000,Zm00001d034467,Pavagv31000690m,maize1
gene289,Sobic.001G056100,Zm00001d034463,Pavagv31000691m,maize1
gene290,Sobic.001G056200,Zm00001d034462,Pavagv31000692m,maize1
gene291,Sobic.001G056400,Zm00001d034453,Pavagv31000696m,maize1
gene292,Sobic.001G056500,Zm00001d034453,Pavagv31000698m,maize1
gene293,Sobic.001G056601,Zm00001d034460,Pavagv31000696m,maize1
gene294,Sobic.001G056700,Zm00001d034457,Pavagv31000700m,maize1
gene295,Sobic.001G056800,Zm00001d034446,Pavagv31000702m,maize1
gene296,Sobic.001G057100,Zm00001d034444,Pavagv31000704m,maize1
gene297,Sobic.001G057200,Zm00001d034443,Pavagv31000705m,maize1
gene298,Sobic.001G057300,Zm00001d034440,Pavagv31000706m,maize1
gene299,Sobic.001G057400,Zm00001d034439,Pavagv31000707m,maize1
gene300,Sobic.001G057500,Zm00001d034435,Pavagv31000710m,maize1
gene301,Sobic.001G057600,Zm00001d034433,Pavagv31000713m,maize1
gene302,Sobic.001G057700,Zm00001d034433,Pavagv31000714m,maize1
gene303,Sobic.001G057800,Zm00001d034432,Pavagv31000715m,maize1
gene304,Sobic.001G057900,Zm00001d034431,Pavagv31000716m,maize1
gene305,Sobic.001G058100,Zm00001d034429,Pavagv31000717m,maize1
gene306,Sobic.001G058200,Zm00001d034428,Pavagv31000718m,maize1
gene307,Sobic.001G058300,Zm00001d034427,Pavagv31000720m,maize1
gene308,Sobic.001G058500,Zm00001d034425,Pavagv31000722m,maize1
gene309,Sobic.001G058600,Zm00001d034424,Pavagv31000723m,maize1
gene310,Sobic.001G058900,Zm00001d034422,Pavagv31000726m,maize1
gene311,Sobic.001G059100,Zm00001d034420,Pavagv31000727m,maize1
gene312,Sobic.001G059150,Zm00001d034419,Pavagv31000729m,maize1
gene313,Sobic.001G059300,Zm00001d034419,Pavagv31000729m,maize1
gene314,Sobic.001G059400,Zm00001d034418,Pavagv31000731m,maize1
gene315,Sobic.001G059500,Zm00001d034416,Pavagv31000732m,maize1
gene316,Sobic.001G059600,Zm00001d034415,Pavagv31000733m,maize1
gene317,Sobic.001G059700,Zm00001d034414,Pavagv31000734m,maize1
gene318,Sobic.001G059800,Zm00001d034413,Pavagv31000735m,maize1
gene319,Sobic.001G059900,Zm00001d034410,Pavagv31000737m,maize1
gene320,Sobic.001G061101,Zm00001d034407,Pavagv31000743m,maize1
gene321,Sobic.001G061400,Zm00001d034405,Pavagv31000753m,maize1
gene322,Sobic.001G061500,Zm00001d034404,Pavagv31000757m,maize1
gene323,Sobic.001G061600,Zm00001d034401,Pavagv31000758m,maize1
gene324,Sobic.001G061700,Zm00001d034400,Pavagv31000759m,maize1
gene325,Sobic.001G061800,Zm00001d034399,Pavagv31000760m,maize1
gene326,Sobic.001G062066,Zm00001d034396,Pavagv31000762m,maize1
gene327,Sobic.001G062132,Zm00001d034396,Pavagv31000762m,maize1
gene328,Sobic.001G062300,Zm00001d034388,Pavagv31000768m,maize1
gene329,Sobic.001G062500,Zm00001d034388,Pavagv31000768m,maize1
gene330,Sobic.001G062600,Zm00001d034387,Pavagv31000766m,maize1
gene331,Sobic.001G062800,Zm00001d034384,Pavagv31000771m,maize1
gene332,Sobic.001G062900,Zm00001d034383,Pavagv31000772m,maize1
gene333,Sobic.001G063100,Zm00001d034380,Pavagv31000774m,maize1
gene334,Sobic.001G063200,Zm00001d034379,Pavagv31000775m,maize1
gene335,Sobic.001G063300,Zm00001d034376,Pavagv31000776m,maize1
gene336,Sobic.001G063500,Zm00001d034373,Pavagv31000780m,maize1
gene337,Sobic.001G063600,Zm00001d034372,Pavagv31000781m,maize1
gene338,Sobic.001G063700,Zm00001d034371,Pavagv31000782m,maize1
gene339,Sobic.001G063900,Zm00001d034369,Pavagv31000784m,maize1
gene340,Sobic.001G064500,Zm00001d034368,Pavagv31000785m,maize1
gene341,Sobic.001G064600,Zm00001d034366,Pavagv31000788m,maize1
gene342,Sobic.001G064900,Zm00001d034365,Pavagv31000791m,maize1
gene343,Sobic.001G065000,Zm00001d034364,Pavagv31000792m,maize1
gene344,Sobic.001G065100,Zm00001d034361,Pavagv31000793m,maize1
gene345,Sobic.001G065300,Zm00001d034360,Pavagv31000799m,maize1
gene346,Sobic.001G065500,Zm00001d034359,Pavagv31000800m,maize1
gene347,Sobic.001G065700,Zm00001d034358,Pavagv31000804m,maize1
gene348,Sobic.001G065800,Zm00001d034356,Pavagv31000805m,maize1
gene349,Sobic.001G065900,Zm00001d034356,Pavagv31000805m,maize1
gene350,Sobic.001G066000,Zm00001d034356,Pavagv31000805m,maize1
gene351,Sobic.001G066100,Zm00001d034353,Pavagv31000806m,maize1
gene352,Sobic.001G066300,Zm00001d034351,Pavagv31000807m,maize1
gene353,Sobic.001G066400,Zm00001d034350,Pavagv31000808m,maize1
gene354,Sobic.001G066500,Zm00001d034350,Pavagv31000808m,maize1
gene355,Sobic.001G066700,Zm00001d034346,Pavagv31000810m,maize1
gene356,Sobic.001G067100,Zm00001d034345,Pavagv31000812m,maize1
gene357,Sobic.001G067200,Zm00001d034344,Pavagv31000814m,maize1
gene358,Sobic.001G067300,Zm00001d034343,Pavagv31000816m,maize1
gene359,Sobic.001G067400,Zm00001d034341,Pavagv31000817m,maize1
gene360,Sobic.001G067500,Zm00001d034340,Pavagv31000818m,maize1
gene361,Sobic.001G067700,Zm00001d034338,Pavagv31000820m,maize1
gene362,Sobic.001G067900,Zm00001d034337,Pavagv31000826m,maize1
gene363,Sobic.001G068301,Zm00001d034298,Pavagv31000833m,maize1
gene364,Sobic.001G068700,Zm00001d034313,Pavagv31000843m,maize1
gene365,Sobic.001G068800,Zm00001d034312,Pavagv31000844m,maize1
gene366,Sobic.001G069200,Zm00001d034307,Pavagv31000849m,maize1
gene367,Sobic.001G069500,Zm00001d034318,Pavagv31000851m,maize1
gene368,Sobic.001G069600,Zm00001d034317,Pavagv31000852m,maize1
gene369,Sobic.001G069700,Zm00001d034319,Pavagv31000853m,maize1
gene370,Sobic.001G069900,Zm00001d034320,Pavagv31000859m,maize1
gene371,Sobic.001G070000,Zm00001d034326,Pavagv31000860m,maize1
gene372,Sobic.001G070200,Zm00001d034330,Pavagv31000862m,maize1
gene373,Sobic.001G070300,Zm00001d034331,Pavagv31000863m,maize1
gene374,Sobic.001G070500,Zm00001d034283,Pavagv31000871m,maize1
gene375,Sobic.001G070600,Zm00001d034282,Pavagv31000872m,maize1
gene376,Sobic.001G070800,Zm00001d034279,Pavagv31000876m,maize1
