CommonID,Sorghum,Setaria,Oropetium,Rice,Brachy,Paspalum,Maize
SynPair170,Sobic.001G017100,Seita.9G016700,Ot_Chr4_25862,LOC_Os03g62620,Bradi1g02090,Pavagv31000204m,Zm00001d034807
SynPair172,Sobic.001G017300,Seita.9G016800,Ot_Chr4_25861,LOC_Os03g62610,Bradi1g02080,Pavagv31000204m,Zm00001d034804
SynPair173,Sobic.001G017400,Seita.9G016900,Ot_Chr4_25860,LOC_Os03g62600,Bradi1g02100,Pavagv31000205m,Zm00001d034802
SynPair174,Sobic.001G017500,Seita.9G017000,Ot_Chr4_25859,LOC_Os03g62590,Bradi1g02111,Pavagv31000206m,Zm00001d034801
SynPair177,Sobic.001G017800,Seita.9G017100,Ot_Chr4_n35553,LOC_Os03g62580,Bradi1g02117,Pavagv31000207m,Zm00001d034796
SynPair181,Sobic.001G018200,Seita.9G017700,Ot_Chr4_25855,LOC_Os03g62490,Bradi1g02170,Pavagv31000212m,Zm00001d034795
SynPair185,Sobic.001G018500,Seita.9G017900,Ot_Chr4_25854,LOC_Os03g62420,Bradi1g02220,Pavagv31000218m,Zm00001d034793
SynPair195,Sobic.001G019400,Seita.9G018600,Ot_Chr4_24874,LOC_Os03g62340,Bradi1g02280,Pavagv31000227m,Zm00001d034788
SynPair196,Sobic.001G019500,Seita.9G018800,Ot_Chr4_24873,LOC_Os03g62330,Bradi1g02300,Pavagv31000229m,Zm00001d034787
SynPair202,Sobic.001G020100,Seita.9G019200,Ot_Chr4_24868,LOC_Os03g62240,Bradi1g02400,Pavagv31000246m,Zm00001d034784
SynPair203,Sobic.001G020200,Seita.9G019300,Ot_Chr4_24867,LOC_Os03g62230,Bradi1g02410,Pavagv31000247m,Zm00001d034783
SynPair205,Sobic.001G020500,Seita.9G019900,Ot_Chr4_24864,LOC_Os03g62180,Bradi1g02440,Pavagv31000250m,Zm00001d034781
SynPair206,Sobic.001G020600,Seita.9G020000,Ot_Chr4_24863,LOC_Os03g62170,Bradi1g02450,Pavagv31000251m,Zm00001d034779
SynPair207,Sobic.001G020700,Seita.9G020200,Ot_Chr4_24862,LOC_Os03g62160,Bradi1g02460,Pavagv31000253m,Zm00001d034778
SynPair210,Sobic.001G021000,Seita.9G020500,Ot_Chr4_n34797,LOC_Os03g62110,Bradi1g02490,Pavagv31000256m,Zm00001d034777
SynPair224,Sobic.001G022400,Seita.9G021200,Ot_Chr4_n35629,LOC_Os03g62010,Bradi1g02560,Pavagv31000261m,Zm00001d034763
SynPair226,Sobic.001G022600,Seita.9G021300,Ot_Chr4_24837,LOC_Os03g61990,Bradi1g02570,Pavagv31000262m,Zm00001d034768
SynPair227,Sobic.001G022700,Seita.9G021400,Ot_Chr4_24836,LOC_Os03g61980,Bradi1g02575,Pavagv31000265m,Zm00001d034769
SynPair229,Sobic.001G022900,Seita.9G021700,Ot_Chr4_24833,LOC_Os03g61960,Bradi1g02590,Pavagv31000266m,Zm00001d034760
SynPair230,Sobic.001G023000,Seita.9G026300,Ot_Chr4_24832,LOC_Os03g61950,Bradi1g02610,Pavagv31000268m,Zm00001d034759
SynPair231,Sobic.001G023100,Seita.9G026200,Ot_Chr4_24831,LOC_Os03g61930,Bradi1g02597,Pavagv31000269m,Zm00001d034758
SynPair232,Sobic.001G023200,Seita.9G026100,Ot_Chr4_24829,LOC_Os03g61920,Bradi1g02630,Pavagv31000271m,Zm00001d034757
SynPair234,Sobic.001G023400,Seita.9G025800,Ot_Chr4_24828,LOC_Os03g61890,Bradi1g02680,Pavagv31000274m,Zm00001d034755
SynPair235,Sobic.001G023500,Seita.9G025500,Ot_Chr4_24812,LOC_Os03g61620,Bradi1g02980,Pavagv31000278m,Zm00001d034754
SynPair237,Sobic.001G023700,Seita.9G025400,Ot_Chr4_n35642,LOC_Os03g61590,Bradi1g03000,Pavagv31000286m,Zm00001d034753
SynPair238,Sobic.001G023800,Seita.9G025300,Ot_Chr4_24816,LOC_Os03g61580,Bradi1g03010,Pavagv31000288m,Zm00001d034752
SynPair239,Sobic.001G023900,Seita.9G025200,Ot_Chr4_24817,LOC_Os03g61570,Bradi1g03020,Pavagv31000289m,Zm00001d034751
SynPair240,Sobic.001G024000,Seita.9G025100,Ot_Chr4_24818,LOC_Os03g61560,Bradi1g03030,Pavagv31000290m,Zm00001d034750
SynPair241,Sobic.001G024100,Seita.9G025000,Ot_Chr4_24819,LOC_Os03g61550,Bradi1g03040,Pavagv31000291m,Zm00001d034749
SynPair244,Sobic.001G024300,Seita.9G024800,Ot_Chr4_24821,LOC_Os03g61530,Bradi1g03056,Pavagv31000294m,Zm00001d034747
SynPair245,Sobic.001G024400,Seita.9G024700,Ot_Chr4_24822,LOC_Os03g61510,Bradi1g03070,Pavagv31000295m,Zm00001d034746
SynPair246,Sobic.001G024500,Seita.9G024600,Ot_Chr4_24823,LOC_Os03g61470,Bradi1g03090,Pavagv31000297m,Zm00001d034745
SynPair247,Sobic.001G024700,Seita.9G024600,Ot_Chr4_24823,LOC_Os03g61470,Bradi1g03090,Pavagv31000297m,Zm00001d034745
SynPair248,Sobic.001G024800,Seita.9G024600,Ot_Chr4_24823,LOC_Os03g61470,Bradi1g03090,Pavagv31000297m,Zm00001d034745
SynPair249,Sobic.001G024900,Seita.9G024500,Ot_Chr4_24824,LOC_Os03g61410,Bradi1g03100,Pavagv31000299m,Zm00001d034741
SynPair251,Sobic.001G025101,Seita.9G024300,Ot_Chr4_24826,LOC_Os03g61360,Bradi1g03110,Pavagv31000300m,Zm00001d034740
SynPair253,Sobic.001G025300,Seita.9G024000,Ot_Chr4_24809,LOC_Os03g61340,Bradi1g03120,Pavagv31000300m,Zm00001d034740
SynPair254,Sobic.001G025400,Seita.9G023800,Ot_Chr4_24808,LOC_Os03g61330,Bradi1g03130,Pavagv31000302m,Zm00001d034739
SynPair257,Sobic.001G025700,Seita.9G023500,Ot_Chr4_n34818,LOC_Os03g61690,Bradi1g02920,Pavagv31000307m,Zm00001d034738
SynPair259,Sobic.001G025900,Seita.9G023400,Ot_Chr4_n34814,LOC_Os03g61700,Bradi1g02910,Pavagv31000308m,Zm00001d034734
SynPair260,Sobic.001G026000,Seita.9G023300,Ot_Chr4_24805,LOC_Os03g61710,Bradi1g02810,Pavagv31000310m,Zm00001d034733
SynPair261,Sobic.001G026100,Seita.9G023200,Ot_Chr4_24803,LOC_Os03g61720,Bradi1g02805,Pavagv31000311m,Zm00001d034732
SynPair263,Sobic.001G026300,Seita.9G023000,Ot_Chr9_23640,LOC_Os03g61740,Bradi1g02790,Pavagv31000318m,Zm00001d034731
SynPair265,Sobic.001G026500,Seita.9G022800,Ot_Chr9_23643,LOC_Os03g61760,Bradi1g02760,Pavagv31000321m,Zm00001d034730
SynPair267,Sobic.001G026700,Seita.9G022700,Ot_Chr9_23644,LOC_Os03g61780,Bradi1g02750,Pavagv31000324m,Zm00001d034729
SynPair268,Sobic.001G026800,Seita.9G022500,Ot_Chr9_23647,LOC_Os03g61800,Bradi1g02720,Pavagv31000326m,Zm00001d034727
SynPair269,Sobic.001G026900,Seita.9G022400,Ot_Chr9_23648,LOC_Os03g61810,Bradi1g02710,Pavagv31000327m,Zm00001d034726
SynPair277,Sobic.001G027600,Seita.9G022000,Ot_Chr9_23652,LOC_Os03g61260,Bradi1g03220,Pavagv31000333m,Zm00001d034724
SynPair279,Sobic.001G027800,Seita.9G021900,Ot_Chr9_23653,LOC_Os03g61280,Bradi1g03207,Pavagv31000334m,Zm00001d034723
SynPair281,Sobic.001G028000,Seita.9G027000,Ot_Chr9_n39893,LOC_Os03g61240,Bradi1g03191,Pavagv31000336m,Zm00001d034722
SynPair286,Sobic.001G028500,Seita.9G027400,Ot_Chr9_23657,LOC_Os03g61200,Bradi1g03160,Pavagv31055795m,Zm00001d034718
SynPair288,Sobic.001G028700,Seita.9G027600,Ot_Chr9_23660,LOC_Os03g61140,Bradi1g03290,Pavagv31000344m,Zm00001d034717
SynPair293,Sobic.001G029200,Seita.9G027800,Ot_Chr9_23664,LOC_Os03g61130,Bradi1g03250,Pavagv31000350m,Zm00001d034714
SynPair294,Sobic.001G029300,Seita.9G028000,Ot_Chr4_n34825,LOC_Os03g61120,Bradi1g03260,Pavagv31000351m,Zm00001d034713
SynPair295,Sobic.001G029400,Seita.9G028100,Ot_Chr4_23666,LOC_Os03g61110,Bradi1g03270,Pavagv31000352m,Zm00001d034710
SynPair296,Sobic.001G029500,Seita.9G028200,Ot_Chr4_23667,LOC_Os03g61100,Bradi1g03350,Pavagv31000353m,Zm00001d034706
SynPair297,Sobic.001G029600,Seita.9G028300,Ot_Chr4_23668,LOC_Os03g61090,Bradi1g03340,Pavagv31000354m,Zm00001d034705
SynPair301,Sobic.001G030000,Seita.9G028600,Ot_Chr4_23672,LOC_Os03g61050,Bradi1g03380,Pavagv31000357m,Zm00001d034701
SynPair302,Sobic.001G030100,Seita.9G028700,Ot_Chr4_23673,LOC_Os03g61040,Bradi1g03392,Pavagv31000359m,Zm00001d034700
SynPair303,Sobic.001G030200,Seita.9G028800,Ot_Chr4_23674,LOC_Os03g61030,Bradi1g03400,Pavagv31000360m,Zm00001d034699
SynPair304,Sobic.001G030300,Seita.9G028900,Ot_Chr4_n35647,LOC_Os03g61019,Bradi1g03410,Pavagv31000362m,Zm00001d034698
SynPair305,Sobic.001G030400,Seita.9G029000,Ot_Chr4_23675,LOC_Os03g61010,Bradi1g03420,Pavagv31000363m,Zm00001d034689
SynPair314,Sobic.001G031400,Seita.9G030100,Ot_Chr4_23681,LOC_Os03g60900,Bradi1g03461,Pavagv31000378m,Zm00001d034680
SynPair317,Sobic.001G031700,Seita.9G030300,Ot_Chr4_23683,LOC_Os03g60880,Bradi1g03480,Pavagv31000380m,Zm00001d034678
SynPair319,Sobic.001G031900,Seita.9G030400,Ot_Chr4_23684,LOC_Os03g60870,Bradi1g03490,Pavagv31000381m,Zm00001d034675
SynPair320,Sobic.001G032000,Seita.9G030500,Ot_Chr4_23685,LOC_Os03g60850,Bradi1g03500,Pavagv31000382m,Zm00001d034674
SynPair321,Sobic.001G032100,Seita.9G030600,Ot_Chr4_23690,LOC_Os03g60840,Bradi1g03510,Pavagv31000391m,Zm00001d034673
SynPair323,Sobic.001G032300,Seita.9G031000,Ot_Chr4_n34838,LOC_Os03g60810,Bradi1g03537,Pavagv31000397m,Zm00001d034672
SynPair324,Sobic.001G032400,Seita.9G031100,Ot_Chr4_n34838,LOC_Os03g60810,Bradi1g03537,Pavagv31000399m,Zm00001d034671
SynPair326,Sobic.001G032700,Seita.9G031300,Ot_Chr4_23693,LOC_Os03g60790,Bradi1g03580,Pavagv31000401m,Zm00001d034668
SynPair327,Sobic.001G032800,Seita.9G031400,Ot_Chr4_23694,LOC_Os03g60780,Bradi1g03590,Pavagv31000403m,Zm00001d034667
SynPair330,Sobic.001G033000,Seita.9G031600,Ot_Chr4_23696,LOC_Os03g60750,Bradi1g03600,Pavagv31000406m,Zm00001d034666
SynPair331,Sobic.001G033100,Seita.9G031700,Ot_Chr4_23697,LOC_Os03g60740,Bradi1g03610,Pavagv31000407m,Zm00001d034665
SynPair333,Sobic.001G033300,Seita.9G032400,Ot_Chr4_n34851,LOC_Os03g60720,Bradi1g03640,Pavagv31000410m,Zm00001d034663
SynPair334,Sobic.001G033400,Seita.9G032500,Ot_Chr4_23701,LOC_Os03g60710,Bradi1g03650,Pavagv31000411m,Zm00001d034662
SynPair335,Sobic.001G033500,Seita.9G032600,Ot_Chr4_23702,LOC_Os03g60700,Bradi1g03660,Pavagv31000412m,Zm00001d034659
SynPair342,Sobic.001G034100,Seita.9G033200,Ot_Chr4_23707,LOC_Os03g60650,Bradi1g03690,Pavagv31000416m,Zm00001d034655
SynPair344,Sobic.001G034300,Seita.9G033400,Ot_Chr4_23711,LOC_Os03g60630,Bradi1g03710,Pavagv31000419m,Zm00001d034651
SynPair346,Sobic.001G034500,Seita.9G033600,Ot_Chr4_23713,LOC_Os03g60610,Bradi1g03730,Pavagv31000421m,Zm00001d034650
SynPair349,Sobic.001G034900,Seita.9G034000,Ot_Chr4_n35651,LOC_Os03g60580,Bradi1g03760,Pavagv31000425m,Zm00001d034643
SynPair350,Sobic.001G035000,Seita.9G034100,Ot_Chr4_23718,LOC_Os03g60570,Bradi1g03780,Pavagv31000426m,Zm00001d034642
SynPair351,Sobic.001G035100,Seita.9G034200,Ot_Chr4_n34853,LOC_Os03g60560,Bradi1g03790,Pavagv31000427m,Zm00001d034641
SynPair352,Sobic.001G035200,Seita.9G034300,Ot_Chr4_23720,LOC_Os03g60550,Bradi1g03800,Pavagv31000429m,Zm00001d034640
SynPair353,Sobic.001G035300,Seita.9G034400,Ot_Chr4_23724,LOC_Os03g60540,Bradi1g03810,Pavagv31000430m,Zm00001d034639
SynPair354,Sobic.001G035400,Seita.9G034500,Ot_Chr4_23725,LOC_Os03g60530,Bradi1g03820,Pavagv31000431m,Zm00001d034638
SynPair356,Sobic.001G035500,Seita.9G034600,Ot_Chr4_23726,LOC_Os03g60520,Bradi1g03827,Pavagv31000432m,Zm00001d034636
SynPair357,Sobic.001G035600,Seita.9G034700,Ot_Chr4_n34889,LOC_Os03g60509,Bradi1g03840,Pavagv31000433m,Zm00001d034635
SynPair359,Sobic.001G035800,Seita.9G034900,Ot_Chr4_23729,LOC_Os03g60480,Bradi1g03850,Pavagv31000437m,Zm00001d034634
SynPair363,Sobic.001G036300,Seita.9G035500,Ot_Chr4_23732,LOC_Os03g60460,Bradi1g03860,Pavagv31000441m,Zm00001d034630
SynPair367,Sobic.001G036800,Seita.9G035800,Ot_Chr4_23736,LOC_Os03g60430,Bradi1g03880,Pavagv31000445m,Zm00001d034629
SynPair369,Sobic.001G037000,Seita.9G036000,Ot_Chr4_n34887,LOC_Os03g60390,Bradi1g03900,Pavagv31000448m,Zm00001d034627
SynPair383,Sobic.001G038000,Seita.9G036700,Ot_Chr4_23742,LOC_Os03g60370,Bradi1g03920,Pavagv31000452m,Zm00001d034617
SynPair385,Sobic.001G038100,Seita.9G036800,Ot_Chr4_23743,LOC_Os03g60360,Bradi1g03930,Pavagv31000455m,Zm00001d034618
SynPair386,Sobic.001G038200,Seita.9G036900,Ot_Chr4_23744,LOC_Os03g60350,Bradi1g03940,Pavagv31050915m,Zm00001d034620
SynPair387,Sobic.001G038300,Seita.9G037000,Ot_Chr4_n34885,LOC_Os03g60340,Bradi1g03947,Pavagv31050915m,Zm00001d034621
SynPair394,Sobic.001G038900,Seita.9G037500,Ot_Chr4_n34920,LOC_Os03g60220,Bradi1g04010,Pavagv31000468m,Zm00001d034615
SynPair395,Sobic.001G039000,Seita.9G037600,Ot_Chr4_n34920,LOC_Os03g60210,Bradi1g04010,Pavagv31000469m,Zm00001d034615
SynPair398,Sobic.001G039300,Seita.9G037900,Ot_Chr10_17036,LOC_Os03g60180,Bradi1g04060,Pavagv31000472m,Zm00001d034610
SynPair400,Sobic.001G039500,Seita.9G038400,Ot_Chr10_n30050,LOC_Os03g60150,Bradi1g04080,Pavagv31000476m,Zm00001d034608
SynPair402,Sobic.001G039700,Seita.9G038600,Ot_Chr10_17041,LOC_Os03g60130,Bradi1g04097,Pavagv31000478m,Zm00001d034606
SynPair404,Sobic.001G039800,Seita.9G038700,Ot_Chr10_n30372,LOC_Os03g60120,Bradi1g04110,Pavagv31000480m,Zm00001d034605
SynPair405,Sobic.001G039900,Seita.9G038800,Ot_Chr10_17043,LOC_Os03g60110,Bradi1g04120,Pavagv31000481m,Zm00001d034604
SynPair407,Sobic.001G040100,Seita.9G039100,Ot_Chr10_17046,LOC_Os03g60090,Bradi1g04140,Pavagv31000484m,Zm00001d034602
SynPair408,Sobic.001G040200,Seita.9G039200,Ot_Chr10_17047,LOC_Os03g60080,Bradi1g04150,Pavagv31000485m,Zm00001d034601
SynPair417,Sobic.001G041100,Seita.9G040800,Ot_Chr10_17054,LOC_Os03g59710,Bradi1g04240,Pavagv31000499m,Zm00001d034598
SynPair420,Sobic.001G041400,Seita.9G041200,Ot_Chr10_17057,LOC_Os03g59680,Bradi1g04270,Pavagv31000504m,Zm00001d034597
SynPair422,Sobic.001G041500,Seita.9G041300,Ot_Chr10_17058,LOC_Os03g59670,Bradi1g04280,Pavagv31000506m,Zm00001d034596
SynPair424,Sobic.001G041700,Seita.9G041500,Ot_Chr10_17061,LOC_Os03g59650,Bradi1g04292,Pavagv31000509m,Zm00001d034594
SynPair426,Sobic.001G041900,Seita.9G041700,Ot_Chr10_17063,LOC_Os03g59620,Bradi1g04310,Pavagv31000512m,Zm00001d034591
SynPair429,Sobic.001G042200,Seita.9G042000,Ot_Chr10_17066,LOC_Os03g59590,Bradi1g04330,Pavagv31000515m,Zm00001d034590
SynPair435,Sobic.001G042800,Seita.9G042200,Ot_Chr10_17068,LOC_Os03g59580,Bradi1g54020,Pavagv31000524m,Zm00001d034586
SynPair436,Sobic.001G042901,Seita.9G042300,Ot_Chr4_26765,LOC_Os03g59570,Bradi1g04580,Pavagv31000522m,Zm00001d034584
SynPair442,Sobic.001G043500,Seita.9G042600,Ot_Chr4_26764,LOC_Os03g59550,Bradi1g04561,Pavagv31000531m,Zm00001d034578
SynPair444,Sobic.001G043700,Seita.9G042800,Ot_Chr4_26760,LOC_Os03g59480,Bradi1g04527,Pavagv31000536m,Zm00001d034577
SynPair445,Sobic.001G043800,Seita.9G042900,Ot_Chr4_26759,LOC_Os03g59470,Bradi1g04520,Pavagv31000537m,Zm00001d034575
SynPair450,Sobic.001G044300,Seita.9G043000,Ot_Chr4_26758,LOC_Os03g59460,Bradi1g04510,Pavagv31000541m,Zm00001d034571
SynPair452,Sobic.001G044500,Seita.9G043100,Ot_Chr4_26757,LOC_Os03g59450,Bradi1g04500,Pavagv31000542m,Zm00001d034568
SynPair460,Sobic.001G045400,Seita.9G044300,Ot_Chr4_n34969,LOC_Os03g59330,Bradi1g04610,Pavagv31000562m,Zm00001d034559
SynPair462,Sobic.001G045600,Seita.9G043700,Ot_Chr4_07945,LOC_Os03g59360,Bradi1g54240,Pavagv31000554m,Zm00001d034558
SynPair464,Sobic.001G045800,Seita.9G044300,Ot_Chr4_n34969,LOC_Os03g59330,Bradi1g04630,Pavagv31000563m,Zm00001d034552
